event_id,sport,home_team,away_team,venue_canonical,venue_city,venue_state,event_date,venue_lat,venue_lon
nba_401810140,nba,Brooklyn Nets,New York Knicks,Barclays Center,Brooklyn,NY,2025-11-25T00:30Z,40.6826,-73.9754
nba_401810642,nba,Denver Nuggets,Memphis Grizzlies,Ball Arena,Denver,CO,2026-02-12T02:00Z,39.7487,-105.0077
nba_401810359,nba,Toronto Raptors,Atlanta Hawks,Scotiabank Arena,Toronto,ON,2026-01-06T00:30Z,43.6435,-79.3791
nfl_401772959,nfl,Philadelphia Eagles,Washington Commanders,Lincoln Financial Field,Philadelphia,PA,2026-01-04T21:25Z,39.9008,-75.1675
nfl_401772801,nfl,New Orleans Saints,New York Jets,Caesars Superdome,New Orleans,LA,2025-12-21T18:00Z,29.9511,-90.0812
nba_401866757,nba,Philadelphia 76ers,Orlando Magic,Xfinity Mobile Arena,Philadelphia,PA,2026-04-15T23:30Z,39.9012,-75.172
nfl_401772786,nfl,Tennessee Titans,Jacksonville Jaguars,Nissan Stadium,Nashville,TN,2025-11-30T18:00Z,36.1665,-86.7713
nba_401810846,nba,Charlotte Hornets,Miami Heat,Spectrum Center,Charlotte,NC,2026-03-17T23:00Z,35.2251,-80.8392
nba_401859963,nba,San Antonio Spurs,New York Knicks,Frost Bank Center,San Antonio,TX,2026-06-04T00:30Z,29.4269,-98.4375
nba_401810069,nba,Detroit Pistons,Chicago Bulls,Little Caesars Arena,Detroit,MI,2025-11-13T00:00Z,42.341,-83.0553
nfl_401772853,nfl,Los Angeles Chargers,Washington Commanders,SoFi Stadium,Inglewood,CA,2025-10-05T20:25Z,33.9535,-118.3392
nfl_401772943,nfl,Miami Dolphins,Baltimore Ravens,Hard Rock Stadium,Miami Gardens,FL,2025-10-31T00:15Z,25.958,-80.2389
nba_401812691,nba,New York Knicks,Minnesota Timberwolves,Madison Square Garden,New York,NY,2025-10-09T23:30Z,40.7505,-73.9934
nba_401810880,nba,New Orleans Pelicans,Cleveland Cavaliers,Smoothie King Center,New Orleans,LA,2026-03-21T23:00Z,29.949,-90.0821
nba_401810277,nba,LA Clippers,Houston Rockets,Intuit Dome,Inglewood,CA,2025-12-24T03:30Z,33.9425,-118.3411
nba_401810830,nba,LA Clippers,Sacramento Kings,Intuit Dome,Inglewood,CA,2026-03-15T02:30Z,33.9425,-118.3411
nba_401810706,nba,Brooklyn Nets,San Antonio Spurs,Barclays Center,Brooklyn,NY,2026-02-27T00:30Z,40.6826,-73.9754
nba_401810965,nba,Houston Rockets,Milwaukee Bucks,Toyota Center (Houston),Houston,TX,2026-04-02T00:00Z,29.7508,-95.3621
nba_401810534,nba,Houston Rockets,San Antonio Spurs,Toyota Center (Houston),Houston,TX,2026-01-29T02:42Z,29.7508,-95.3621
nba_401810540,nba,Phoenix Suns,Detroit Pistons,Mortgage Matchup Center,Phoenix,AZ,2026-01-30T02:00Z,33.4457,-112.0712
nba_401809983,nba,Boston Celtics,Cleveland Cavaliers,TD Garden,Boston,MA,2025-10-29T23:00Z,42.3662,-71.0621
nba_401810967,nba,Utah Jazz,Denver Nuggets,Delta Center,Salt Lake City,UT,2026-04-02T01:00Z,40.7683,-111.9011
nfl_401772969,nfl,Tampa Bay Buccaneers,Carolina Panthers,Raymond James Stadium,Tampa,FL,2026-01-03T21:30Z,27.9759,-82.5033
nba_401873201,nba,Oklahoma City Thunder,San Antonio Spurs,Paycom Center,Oklahoma City,OK,2026-05-27T00:30Z,35.4634,-97.5151
nba_401810144,nba,New Orleans Pelicans,Chicago Bulls,Smoothie King Center,New Orleans,LA,2025-11-25T01:00Z,29.949,-90.0821
nba_401811031,nba,New York Knicks,Toronto Raptors,Madison Square Garden,New York,NY,2026-04-10T23:30Z,40.7505,-73.9934
nba_401810130,nba,Philadelphia 76ers,Miami Heat,Xfinity Mobile Arena,Philadelphia,PA,2025-11-23T18:00Z,39.9012,-75.172
nba_401810059,nba,Phoenix Suns,New Orleans Pelicans,Mortgage Matchup Center,Phoenix,AZ,2025-11-11T02:00Z,33.4457,-112.0712
nba_401809952,nba,Portland Trail Blazers,Golden State Warriors,Moda Center,Portland,OR,2025-10-25T02:00Z,45.5316,-122.6668
nba_401810032,nba,Dallas Mavericks,New Orleans Pelicans,American Airlines Center,Dallas,TX,2025-11-06T01:30Z,32.7905,-96.8104
nba_401810758,nba,Minnesota Timberwolves,Toronto Raptors,Target Center,Minneapolis,MN,2026-03-06T01:00Z,44.9795,-93.276
nba_401810791,nba,Philadelphia 76ers,Memphis Grizzlies,Xfinity Mobile Arena,Philadelphia,PA,2026-03-10T23:00Z,39.9012,-75.172
nba_401810109,nba,Portland Trail Blazers,Phoenix Suns,Moda Center,Portland,OR,2025-11-19T04:00Z,45.5316,-122.6668
